20160811 15:42:30
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/category.php?act=ajax&category=1036&&display=grid&brand=0&price_min=0&price_max=0&filter_attr=0&page=1&sort=shop_price&order=DESC

20160811 15:42:38
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/category.php?act=ajax&category=1036&&display=grid&brand=0&price_min=0&price_max=0&filter_attr=0&page=1&sort=shop_price&order=ASC

20160811 15:42:48
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/category.php?act=ajax&category=1036&&display=grid&brand=0&price_min=0&price_max=0&filter_attr=0&page=1&sort=shop_price&order=ASC

20160811 15:43:02
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/category.php?category=1036&display=grid&brand=0&price_min=0&price_max=0&filter_attr=0&page=1&sort=shop_price&order=DESC

20160811 15:43:20
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/category.php?u=902&category=1036&display=grid&brand=0&price_min=0&price_max=0&filter_attr=0&page=1&sort=shop_price&order=DESC

20160811 15:43:52
902-北流高峰茶业-oybWRs1QU28kGCGmHWl_GvJF8SQU- http://www.chaligou.com/mobile/

